Anno;Cdc.Polo;CdC.Centro;CdC.RL/HII;Tabelle Conti;Consuntivo
2015;PROGETTI SPECIALI-ESPLORATIVI;BEHAVIOURAL ECONOMICS;N/D;ADP;-173,28
2015;PROGETTI SPECIALI-ESPLORATIVI;BEHAVIOURAL ECONOMICS;N/D;Altre Agenzie Pubbliche;-2,82
2015;PROGETTI SPECIALI-ESPLORATIVI;BEHAVIOURAL ECONOMICS;N/D;Altre Spese;18,28
2015;PROGETTI SPECIALI-ESPLORATIVI;BEHAVIOURAL ECONOMICS;N/D;Commesse con Privati;-17,00
2015;PROGETTI SPECIALI-ESPLORATIVI;BEHAVIOURAL ECONOMICS;N/D;Personale;156,52
2015;PROGETTI SPECIALI-ESPLORATIVI;BEHAVIOURAL ECONOMICS;N/D;PHD;39,57
2015;PROGETTI SPECIALI-ESPLORATIVI;BEHAVIOURAL ECONOMICS;N/D;Progetti europei;-30,93
2015;PROGETTI SPECIALI-ESPLORATIVI;BEHAVIOURAL ECONOMICS;N/D;Viaggi;4,11
2015;PROGETTI SPECIALI-ESPLORATIVI;CERPIC;N/D;ADP;-291,38
2015;PROGETTI SPECIALI-ESPLORATIVI;CERPIC;N/D;Altre Spese;65,65
2015;PROGETTI SPECIALI-ESPLORATIVI;CERPIC;N/D;Commesse con Privati;-5,02
2015;PROGETTI SPECIALI-ESPLORATIVI;CERPIC;N/D;Personale;170,62
2015;PROGETTI SPECIALI-ESPLORATIVI;CERPIC;N/D;PHD;56,41
2015;PROGETTI SPECIALI-ESPLORATIVI;CERPIC;N/D;Viaggi;3,73
2015;PST - POLO SCIENTIFICO;CIRM;N/D;ADP;-167,47
2015;PST - POLO SCIENTIFICO;CIRM;N/D;Altre Spese;100,53
2015;PST - POLO SCIENTIFICO;CIRM;N/D;Commesse con Privati;-38,52
2015;PST - POLO SCIENTIFICO;CIRM;N/D;Personale;105,39
2015;PST - POLO SCIENTIFICO;CIRM;N/D;RICAVI PROGETTI E CONVEGNI;-2,75
2015;PST - POLO SCIENTIFICO;CIRM;N/D;Viaggi;2,41
2015;PST - POLO SCIENTIFICO;CMM;N/D;ADP;-5.622,91
2015;PST - POLO SCIENTIFICO;CMM;N/D;Altre Agenzie Pubbliche;-1.435,10
2015;PST - POLO SCIENTIFICO;CMM;N/D;Altre Spese;2.790,85
2015;PST - POLO SCIENTIFICO;CMM;N/D;ALTRI RICAVI;-22,06
2015;PST - POLO SCIENTIFICO;CMM;N/D;Commesse con Privati;-1.200,03
2015;PST - POLO SCIENTIFICO;CMM;N/D;Investimenti in ADP;517,99
2015;PST - POLO SCIENTIFICO;CMM;N/D;Personale;5.849,45
2015;PST - POLO SCIENTIFICO;CMM;N/D;PHD;261,89
2015;PST - POLO SCIENTIFICO;CMM;N/D;Progetti europei;-1.307,01
2015;PST - POLO SCIENTIFICO;CMM;N/D;RICAVI PROGETTI E CONVEGNI;-41,86
2015;PST - POLO SCIENTIFICO;CMM;N/D;Viaggi;251,36
2015;PST - POLO SCIENTIFICO;CNR;N/D;ADP;-766,37
2015;PST - POLO SCIENTIFICO;CNR;N/D;Altre Agenzie Pubbliche;-263,56
2015;PST - POLO SCIENTIFICO;CNR;N/D;Altre Spese;165,71
2015;PST - POLO SCIENTIFICO;CNR;N/D;ALTRI RICAVI;-5,20
2015;PST - POLO SCIENTIFICO;CNR;N/D;Commesse con Privati;-16,51
2015;PST - POLO SCIENTIFICO;CNR;N/D;Investimenti in ADP;17,54
2015;PST - POLO SCIENTIFICO;CNR;N/D;Personale;893,88
2015;PST - POLO SCIENTIFICO;CNR;N/D;Progetti europei;-43,19
2015;PST - POLO SCIENTIFICO;CNR;N/D;Viaggi;15,05
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;ADP;-2.122,69
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;Altre Spese;1.999,01
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;ALTRI RICAVI;-80,40
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;I/C Costi/(Ricavi);0,00
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;Investimenti in ADP;223,12
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;Personale;0,00
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;Progetti europei;-2,00
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;Ricavi;-4,00
2015;FUNZIONAMENTO;COSTI COMUNI;N/D;RICAVI PROGETTI E CONVEGNI;-36,24
2015;PST - POLO SCIENTIFICO;ECT*;N/D;ADP;-513,57
2015;PST - POLO SCIENTIFICO;ECT*;N/D;Altre Spese;328,55
2015;PST - POLO SCIENTIFICO;ECT*;N/D;ALTRI RICAVI;-1,17
2015;PST - POLO SCIENTIFICO;ECT*;N/D;Commesse con Privati;-113,42
2015;PST - POLO SCIENTIFICO;ECT*;N/D;Investimenti in ADP;0,17
2015;PST - POLO SCIENTIFICO;ECT*;N/D;Personale;708,13
2015;PST - POLO SCIENTIFICO;ECT*;N/D;PHD;12,00
2015;PST - POLO SCIENTIFICO;ECT*;N/D;Progetti europei;-12,86
2015;PST - POLO SCIENTIFICO;ECT*;N/D;RICAVI PROGETTI E CONVEGNI;-435,00
2015;PST - POLO SCIENTIFICO;ECT*;N/D;Viaggi;27,18
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;ADP;-291,28
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;Altre Agenzie Pubbliche;-116,85
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;Altre Spese;19,59
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;ALTRI RICAVI;-0,03
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;Commesse con Privati;-9,11
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;Personale;360,28
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;PHD;39,75
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;Progetti europei;-12,92
2015;PST - POLO SCIENTIFICO;ECT* LISC;N/D;Viaggi;6,47
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;ADP;-82,39
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;Altre Spese;3,38
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;ALTRI RICAVI;-5,23
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;Commesse con Privati;-63,90
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;Investimenti in ADP;4,35
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;Personale;136,72
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;PHD;18,23
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;Progetti europei;-35,04
2015;PST - POLO SCIENTIFICO;ICT;HII FM FUTURE MEDIA;Viaggi;0,65
